Station,Year,Month,rainfall,tmax,tmin,cloud,wind,humidity,dry_bulb
Ambaganctg,2011,Mar,50.0,38.4,16.6,3.0,7.5,69.0,26.0
Ambaganctg,2011,Apr,50.0,37.0,20.2,4.0,7.0,76.0,27.8
Ambaganctg,2011,May,282.0,36.8,21.8,5.0,5.4,79.0,28.7
Ambaganctg,2011,Jun,916.0,35.5,24.0,6.0,4.5,85.0,28.2
Ambaganctg,2011,Jul,245.0,34.2,24.0,6.0,4.1,84.0,28.3
Ambaganctg,2011,Aug,392.0,34.8,24.0,6.0,2.6,88.0,27.6
Ambaganctg,2011,Sep,86.0,35.5,24.0,6.0,3.3,86.0,27.9
Ambaganctg,2011,Oct,301.0,34.3,20.7,4.0,3.6,82.0,27.6
Ambaganctg,2011,Nov,52.0,34.6,17.5,1.0,2.9,77.0,23.8
Ambaganctg,2011,Dec,22.0,32.0,12.0,1.0,2.5,81.0,20.2
Ambaganctg,2012,Jan,0.0,29.4,9.5,1.0,3.0,74.0,20.0
Ambaganctg,2012,Feb,0.0,32.3,11.9,1.0,2.7,64.0,22.9
Ambaganctg,2012,Mar,35.0,36.2,18.5,2.0,5.2,77.0,26.6
Ambaganctg,2012,Apr,117.0,36.5,19.0,3.0,3.4,82.0,27.6
Ambaganctg,2012,May,355.0,38.0,21.1,5.0,4.4,79.0,29.5
Ambaganctg,2012,Jun,454.0,35.8,23.0,6.0,3.5,87.0,28.5
Ambaganctg,2012,Jul,613.0,34.8,24.4,6.0,4.2,88.0,27.8
Ambaganctg,2012,Aug,748.0,35.5,24.4,7.0,4.0,85.0,28.3
Ambaganctg,2012,Sep,740.0,34.4,24.1,6.0,4.0,82.0,28.7
Ambaganctg,2012,Oct,66.0,35.8,19.9,3.0,2.4,84.0,27.2
Ambaganctg,2012,Nov,0.0,34.7,14.8,1.0,2.6,77.0,24.1
Ambaganctg,2012,Dec,0.0,30.7,9.5,2.0,2.4,80.0,19.2
Ambaganctg,2013,Jan,0.0,31.4,8.3,2.0,3.1,69.0,18.7
Ambaganctg,2013,Feb,0.0,31.8,12.0,1.0,3.0,56.0,23.4
Ambaganctg,2013,Mar,31.0,35.4,16.5,2.0,3.9,70.0,26.6
Ambaganctg,2013,Apr,231.0,37.1,20.0,4.0,4.2,72.0,28.6
Ambaganctg,2013,May,114.0,35.2,20.6,4.0,4.2,82.0,27.4
Ambaganctg,2013,Jun,1268.0,35.7,23.4,6.0,4.1,83.0,28.8
Ambaganctg,2013,Jul,662.0,33.5,24.8,7.0,3.5,82.0,28.4
Ambaganctg,2013,Aug,300.0,34.3,24.0,6.0,3.5,84.0,28.1
Ambaganctg,2013,Sep,221.0,35.3,24.0,6.0,3.4,85.0,28.2
Ambaganctg,2013,Oct,445.0,36.5,21.2,3.0,2.4,85.0,26.9
Ambaganctg,2013,Nov,3.0,33.8,16.0,3.0,2.8,75.0,24.2
Ambaganctg,2013,Dec,0.0,31.0,12.4,1.0,2.5,77.0,20.5
Ambaganctg,2014,Jan,0.0,31.1,10.5,0.0,2.8,70.0,19.8
Ambaganctg,2014,Feb,1.0,32.0,13.5,1.0,2.7,66.0,22.3
Ambaganctg,2014,Mar,5.0,35.5,16.8,1.0,3.3,63.0,26.2
Ambaganctg,2014,Apr,58.0,36.6,19.5,3.0,3.6,70.0,30.0
Ambaganctg,2014,May,469.0,39.5,22.5,6.0,4.1,78.0,29.7
Ambaganctg,2014,Jun,504.0,35.1,23.4,6.0,3.5,84.0,28.7
Ambaganctg,2014,Jul,391.0,34.0,23.5,6.0,3.4,82.0,28.8
